,lang,baseline,intv_eng_Latn,intv_nld_Latn,intv_ind_Latn,intv_zsm_Latn,intv_vie_Latn,intv_jpn_Jpan,intv_zho_Hans
0,en,0,0.0,0.10784313725490197,0.11764705882352941,0.17647058823529413,0.029411764705882353,0.22549019607843138,0.20588235294117646
1,id,0,0.06862745098039216,0.11764705882352941,0.0,0.5294117647058824,0.00980392156862745,0.16666666666666666,0.20588235294117646
2,zh,0,0.0784313725490196,0.16666666666666666,0.27450980392156865,0.28431372549019607,0.17647058823529413,0.19607843137254902,0.0
