,lang,baseline,intv_eng_Latn,intv_nld_Latn,intv_ind_Latn,intv_zsm_Latn,intv_vie_Latn,intv_jpn_Jpan,intv_zho_Hans
0,en,0,0.0,0.8725490196078431,0.7941176470588235,0.6764705882352942,0.6862745098039216,0.5686274509803921,0.6862745098039216
1,id,0,1.0,0.9705882352941176,0.0,0.6470588235294118,0.9607843137254902,0.8725490196078431,0.9607843137254902
2,zh,0,1.0,0.9509803921568627,0.9803921568627451,0.803921568627451,0.8333333333333334,0.9803921568627451,0.0
