,lang,baseline,intv_eng_Latn,intv_nld_Latn,intv_ind_Latn,intv_zsm_Latn,intv_vie_Latn,intv_jpn_Jpan,intv_zho_Hans
0,en,0,0.0,0.8725490196078431,0.8627450980392157,0.6764705882352942,0.7156862745098039,0.5980392156862745,0.7352941176470589
1,id,0,1.0,0.9607843137254902,0.0,0.6078431372549019,0.9607843137254902,0.8725490196078431,0.9607843137254902
2,zh,0,1.0,0.9509803921568627,1.0,0.8137254901960784,0.8333333333333334,0.9803921568627451,0.0
