,lang,baseline,intv_eng_Latn,intv_nld_Latn,intv_ind_Latn,intv_zsm_Latn,intv_vie_Latn,intv_jpn_Jpan,intv_zho_Hans
0,en,0,0.0,0.0392156862745098,0.0392156862745098,0.17647058823529413,0.00980392156862745,0.029411764705882353,0.029411764705882353
1,id,0,0.049019607843137254,0.06862745098039216,0.0,0.3333333333333333,0.0392156862745098,0.058823529411764705,0.0784313725490196
2,zh,0,0.19607843137254902,0.16666666666666666,0.0392156862745098,0.16666666666666666,0.058823529411764705,0.13725490196078433,0.0
