,lang,baseline,intv_eng_Latn,intv_nld_Latn,intv_ind_Latn,intv_zsm_Latn,intv_vie_Latn,intv_jpn_Jpan,intv_zho_Hans
0,en,0,0.0,0.5392156862745098,0.5882352941176471,0.5098039215686274,0.27450980392156865,0.23529411764705882,0.6176470588235294
1,id,0,1.0,0.6372549019607843,0.0,0.5294117647058824,0.3235294117647059,0.14705882352941177,0.6176470588235294
2,zh,0,0.8823529411764706,0.49019607843137253,0.6078431372549019,0.5392156862745098,0.28431372549019607,0.21568627450980393,0.0
